sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;fabrica de ;prado;3;10.0;13/07/2018;5000000.0;microempresarial
femenino;servicio;recreativo educativo;barrio caicedo;1;9.0;30/10/2017;6000000.0;microempresarial
femenino;comercio;tienda;aranjuez;2;4.0;3/08/2017;7300000.0;microempresarial
masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000.0;microempresarial
femenino;comercio;fabrica de ;robledo;2;7.0;23/02/2017;5000000.0;microempresarial
femenino;comercio;variedades;picachito;1;6.0;31/05/2017;7000000.0;microempresarial
femenino;industria;fabrica de ;guayabal;3;15.0;20/02/2016;2000000.0;microempresarial
femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000.0;microempresarial
masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000.0;microempresarial
femenino;comercio;variedades;manrique central no. 1;1;4.0;3/05/2018;7800000.0;microempresarial
femenino;industria;fabrica de ;manrique central no. 2;2;3.0;28/02/2017;4500000.0;microempresarial
masculino;agropecuaria;sembrados;santa elena central;2;90.0;23/12/2016;13000000.0;agropecuaria
femenino;comercio;comidas rapidas;andalucia;2;2.0;12/04/2018;7800000.0;microempresarial
masculino;industria;fabrica de ;san javier no.1;1;13.0;23/08/2018;4000000.0;microempresarial
masculino;servicio;variedades;belencito;2;13.0;30/07/2018;7800000.0;microempresarial
masculino;comercio;miscelanea;centro admtivo;3;10.0;14/02/2018;1000000.0;microempresarial
femenino;comercio;variedades;cabecera san antonio ;2;80.0;16/11/2017;7000000.0;microempresarial
femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;29/04/2019;8000000.0;microempresarial
masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000.0;microempresarial
femenino;comercio;venta de calzado;playon de los ;2;2.0;27/02/2017;7000000.0;microempresarial
femenino;comercio;productos de belleza;buenos aires;3;9.0;24/07/2017;7300000.0;microempresarial
masculino;comercio;tienda;manrique central no. 1;2;4.0;14/09/2018;6000000.0;microempresarial
femenino;comercio;tienda;popular;2;1.0;11/10/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en ;robledo;2;7.0;15/02/2018;6000000.0;microempresarial
femenino;comercio;variedades;tricentenario;3;5.0;20/11/2017;4000000.0;microempresarial
masculino;servicio;barberia;calasanz;2;12.0;26/09/2017;7377000.0;microempresarial
masculino;industria;fabrica de ;aranjuez;3;4.0;24/10/2016;6500000.0;microempresarial
femenino;comercio;comidas rapidas;buenos aires;2;9.0;28/06/2019;1500000.0;microempresarial
masculino;comercio;variedades;andalucia;2;2.0;17/08/2018;7800000.0;microempresarial
femenino;servicio;peluqueria;pedregal;3;6.0;27/10/2017;7300000.0;microempresarial
femenino;servicio;jardineria;la francia;2;2.0;12/06/2017;7377000.0;microempresarial
femenino;comercio;variedades;santa cruz;2;2.0;14/06/2017;4000000.0;microempresarial
femenino;comercio;tienda;san javier no.1;2;13.0;6/02/2018;7800000.0;microempresarial
femenino;comercio;variedades;la floresta;3;12.0;5/09/2017;7300000.0;microempresarial
femenino;comercio;variedades;belen;3;16.0;16/09/2016;6890000.0;microempresarial
masculino;comercio;tienda;las brisas;3;5.0;15/01/2018;6000000.0;microempresarial
femenino;comercio;peluqueria;castilla;3;5.0;11/08/2017;2500000.0;microempresarial
masculino;industria;fabrica de alimentos;san javier no.1;2;13.0;27/10/2016;6800000.0;microempresarial
femenino;comercio;almacen de ropa en ;cabecera san antonio ;2;80.0;22/09/2016;4000000.0;microempresarial
