driverId,week,hours-logged,miles-logged
102,39,71,3600
61,39,80,1300
35,3,72,1500
89,43,57,1900
92,5,55,2400
77,44,61,2300
88,41,61,800
52,46,78,100
69,1,52,2000
10,17,61,3000
99,43,62,900
81,36,56,1200
88,8,69,1200
59,32,55,3600
22,33,64,100
46,15,65,2000
72,9,68,2100
72,38,58,1000
100,31,70,1100
59,14,56,3500
19,16,78,500
95,14,68,3500
19,34,73,2300
25,4,76,400
100,49,62,3500
98,14,74,3600
79,25,77,700
16,18,68,1800
18,50,56,2900
34,13,55,2900
50,4,79,1100
37,26,64,300
85,30,67,2200
86,1,61,1100
41,47,51,4000
57,32,52,1700
99,17,75,3900
96,43,64,3900
104,17,60,0
36,22,76,1300
83,37,58,700
73,17,55,2000
75,1,52,3700
61,35,75,1000
40,5,53,900
18,6,69,1700
23,22,59,2300
25,42,59,3000
79,2,73,0
34,23,56,1300
102,24,59,1400
43,30,55,2700
81,52,79,2100
67,6,74,2000
102,49,54,1900
54,5,52,3600
100,31,50,1500
39,34,63,1400
55,18,52,1200
70,43,73,3500
93,18,68,1800
79,3,60,3000
76,35,68,2500
44,37,59,1900
90,25,58,600
100,36,78,2200
86,14,64,1200
33,21,60,4000
61,52,80,400
11,49,79,200
76,44,70,3300
92,13,63,2200
107,44,64,3300
62,36,57,4000
96,46,76,3300
63,28,52,2500
60,21,58,3600
94,35,74,800
18,7,57,2000
73,37,52,2700
60,21,65,1200
107,2,63,1100
79,15,70,3100
55,46,79,500
60,13,63,100
49,40,76,3100
49,2,74,3100
23,38,64,900
94,10,60,800
73,6,78,2200
85,28,52,3000
63,6,54,600
43,48,68,1500
54,27,51,3500
38,18,71,2800
69,46,69,700
105,35,78,3600
38,3,74,2000
44,27,68,3300
89,25,54,2700
13,27,60,200
15,1,71,3300
93,35,58,700
20,25,60,3900
89,19,66,1200
24,26,73,3100
68,52,72,400
39,10,69,1800
36,14,67,3400
104,11,58,2200
46,18,80,1400
81,33,55,2200
65,42,54,1500
60,8,78,1300
73,38,53,200
41,23,53,400
10,23,62,600
36,37,78,500
96,36,78,4000
45,11,66,1800
34,4,50,3900
42,26,63,2900
27,15,54,3000
72,42,70,600
77,10,78,1600
77,35,74,2100
25,17,79,1500
41,5,58,400
101,45,80,200
18,41,64,1400
101,34,64,100
78,29,62,1000
19,15,73,800
63,30,74,2800
31,11,59,1100
48,16,52,1100
98,36,69,2900
28,15,50,0
59,33,65,2900
22,24,63,1900
62,40,58,2100
60,37,60,1000
65,43,57,3000
48,20,53,2400
87,30,79,3500
63,27,73,500
69,4,71,2500
59,1,64,1900
12,27,67,1800
18,5,53,900
76,15,52,0
58,51,50,100
54,52,60,1700
81,40,73,3600
77,7,68,3000
